 ,,,,,,,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V  / 300Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,200A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
5 años
","$1,155.00",,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,8.000 y 10.000 ciclos a un 75% de DOD,,,,,,,,,,,,,,,
,,Capacidad:   15 KWh,Dimenciones (cm) ,74.0 x 57.0 x 42.0 (Carton size),,,,,,,,,,,,,,,
,,, peso (Kg),129,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Trifusion Power.pdf,Marca: AMIBA,Modelo ,HES15WT,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V  / 280Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,200A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
10 años
","$1,180.00",,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,"> 8.000 ciclos al 95% DoD (Profundidad de descarga) a 25°C.
",,,,,,,,,,,,,,,
,,Capacidad:   15 KWh,Dimenciones (cm) , 83.0 x46.0 x 29.0 ,,,,,,,,,,,,,,,
,,, peso (Kg),117,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Modelos de 16 KWh,,,,,,,,,,,,,,,,,,,
,XINXIN ENERGY.pdf,Marca: Rarlon,Modelo ,XX-A4-48314,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V  / 314Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,200A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
5 años
",---,,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,"10.000 ciclos a un 80% de DOD
",,,,,,,,,,,,,,,
,,Capacidad:   16 KWh,Dimenciones (cm) ,40 x 30 x 97,,,,,,,,,,,,,,,
,,, peso (Kg),123,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,16度电规格书（英文中性）.pdf,Marca: TRIFUSION POWER,Modelo ,AL-WM512314,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V  /  330Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,200A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
5 años
","$1,277.00",,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,"6.000 ciclos a un 90% de DOD
10.000 ciclos a un 80% de DOD
",,,,,,,,,,,,,,,
,,Capacidad:   16 KWh,Dimenciones (cm) ,88.87 x 50.0 x 42.0 ,,,,,,,,,,,,,,,
,,, peso (Kg),134,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,HES16WT.pdf,Marca: AMIBA,Modelo ,HES16WT,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V  /  314Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,200A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
10 años
","$1,380.00",,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,8.000 ciclos a un 95% de DOD,,,,,,,,,,,,,,,
,,Capacidad:   16 KWh,Dimenciones (cm) ,83 x 46 x 29,,,,,,,,,,,,,,,
,,, peso (Kg),128,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Modelos de 17 KWh,,,,,,,,,,,,,,,,,,,
,SunC ESS catalog 2026.pdf,Marca: SUNC SOLAR,Modelo ,SCAE-B-51.2-335,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V  /  335Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,200A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
5 años
","$1,161.00",,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,8.000 ciclos a un 80% de DOD,,,,,,,,,,,,,,,
,,Capacidad:   17 KWh,Dimenciones (cm) ,48.5 × 26 × 77,,,,,,,,,,,,,,,
,,, peso (Kg),---,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Modelos de 18 KWh,,,,,,,,,,,,,,,,,,,
,Trifusion Power.pdf,Marca: TRIFUSION POWER,Modelo ,AL-WM512346,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V  /  346Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,200A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
5 años
","$1,279.00",,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,8.000 y 10.000 ciclos a un 75% de DOD,,,,,,,,,,,,,,,
,,Capacidad:   18 KWh,Dimenciones (cm) ,74.0 x 57.0 x 42.0 (Carton size),,,,,,,,,,,,,,,
,,, peso (Kg),132.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Modelos de 20 KWh,,,,,,,,,,,,,,,,,,,
,XINXIN ENERGY.pdf,Marca: Rarlon,Modelo ,XX-CBM-400HW 1P16S A01,Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V  / 400Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,200A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
5 años
","$1,276.00",,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,10.000 ciclos a un 80% de DOD,,,,,,,,,,,,,,,
,,Capacidad:   20 KWh,Dimenciones (cm) ,10.85 x 29.9 x 57.2,,,,,,,,,,,,,,,
,,, peso (Kg),175.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Modelos de 30 KWh,,,,,,,,,,,,,,,,,,,
,SunC ESS catalog 2026.pdf,Marca: SUNC SOLAR,Modelo ,SCAE-B-51.2-600 (BMS 200A),Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V  / 600Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,200A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
5 años
","$2,060.00",,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,"8.000 ciclos a un 80% de DOD
",,,,,,,,,,,,,,,
,,Capacidad:   30 KWh,Dimenciones (cm) ,81 × 40 × 75.5,,,,,,,,,,,,,,,
,,, peso (Kg),---,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,SunC ESS catalog 2026.pdf,Marca: SUNC SOLAR,Modelo ,SCAE-B-51.2-600 (BMS 300A),Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V  / 600Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,300A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
5 años
","$2,122.00",,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
,Link de instagram,,Ciclos de Vida útil,"8.000 ciclos a un 80% de DOD
",,,,,,,,,,,,,,,
,,Capacidad:   30 KWh,Dimenciones (cm) ,81 × 40 × 75.5,,,,,,,,,,,,,,,
,,, peso (Kg),---,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Modelos de 32 KWh,,,,,,,,,,,,,,,,,,,
,XINXIN ENERGY.pdf,Marca: Rarlon,Modelo ,SCAE-B-51.2-600 (BMS 300A),Precio (USD),,,,,,,,,,,,,,
,,,Voltaje (V) / Amperaje (A),51.2V  / 628Ah,,,,,,,,,,,,,,,
,,,Maxima corriente de  Descarga,200A,,,,,,,,,,,,,,,
,,,Garantía de fábrica,"
5 años
",----,,,,,,,,,,,,,,
,,,Tipos de Bateria / Tipo de celdas,Batería LiFePO4,,,,,,,,,,,,,,,
